"Key","Source","Translation","","","","","",""
"61E64F8D49D7814C9007BAB00F3079DF","Hsiao Shun's husband died of a disease.","Чоловік Сяо Шунь помер від хвороби.","","","","","",""
"D67985EA48995A255284DC82915434C7","Ackroyd","Акройд","","","","","",""
"F9CF2D6B403C52A7F46E13ACC80776EC","Agamemnon","Агамемнон","","","","","",""
"81C0669242FC212FC1DDBF965CC3012C","Albert","Альберт","","","","","",""
"80BD04574CEB25B9E7B1F1B4E828D8D9","Albert Palmer, 18 years old, male. A homeless young man devoured by his desire to become a gang member. Son of Benjamin Palmer, a former soldier and traumatized veteran, Albert followed his father to the streets when the raging alcoholic could not provide the rent anymore. Instead of staying by Benjamin’s side, Albert decided to fend for himself and struck out alone to become a common thief. To ensure his survival, he approached the members of the Wet Boot Boys and started to carry out menial tasks for the gang - going so far as to steal his father’s medicine to prove his worth. The young Mr. Palmer built up resentment towards his father and society itself turned him into a wild dog desperately trying to fit in among wolves. He was terrified to die and his blood left an oddly bitter aftertaste.","Albert Palmer, 18 years old, male. A homeless young man devoured by his desire to become a gang member. Son of Benjamin Palmer, a former soldier and traumatized veteran, Albert followed his father to the streets when the raging alcoholic could not provide the rent anymore. Instead of staying by Benjamin’s side, Albert decided to fend for himself and struck out alone to become a common thief. To ensure his survival, he approached the members of the Wet Boot Boys and started to carry out menial tasks for the gang - going so far as to steal his father’s medicine to prove his worth. The young Mr. Palmer built up resentment towards his father and society itself turned him into a wild dog desperately trying to fit in among wolves. He was terrified to die and his blood left an oddly bitter aftertaste.","","","","","",""
"ADE1B7B2480F88E43A94929D27FBF174","Aloysius","Алоїз","","","","","",""
"77868EF740183B0B3962A996D7577359","Aloysius Dawson","Aloysius Dawson","","","","","",""
"7D77B95D41DE76ED0F18F0822B82691A","Ambulance","Ambulance","","","","","",""
"C78BDF664F43338ED50BC69AC00FDF07","Archer","Арчер","","","","","",""
"D9712A7248E3054918D1FD86F9BB5665","Ashbury","Ashbury","","","","","",""
"E0A9260D4D236B7CCC038888BA41D0A7","Ashbury","Ashbury","","","","","",""
"2F034F8B4ECD13DB1AD03AA8903B2A47","Avery","Ейвері","","","","","",""
"335F10EE4A59E53094B940B8181D6584","Baker","Бейкер","","","","","",""
"820483F648068EF4C57427AA335D15A4","Baker","Бейкер","","","","","",""
"BD169FB248D300B244CCE6BF94F40F39","Barrett","Барретт","","","","","",""
"0B533C304BFF906DBA4E9E91C7730FE9","Barrett Lewis, 43 years old, male. A lonely street merchant, primarily concerned with profit and surviving these difficult times. Mr. Lewis had been bullied and racketed for months by his former best friend, Joe Peterson, who joined the Wet Boot Boys to look after his sick son, Harry. Bitter and sad, Barrett Lewis never dared to resist Mr. Peterson’s violence, perhaps due to the buried secret of the affair he had with his tormentor’s dead wife, and the unclear identity of Harry’s real father. Instead he let his former friend slowly ruin his business. They never settled the crucial question that may have been the key to their sinking friendship: the identity of Harry’s real father. When I took his life, Mr. Lewis was all bitterness and regret concerning his bad choices and lack of courage.","Barrett Lewis, 43 years old, male. A lonely street merchant, primarily concerned with profit and surviving these difficult times. Mr. Lewis had been bullied and racketed for months by his former best friend, Joe Peterson, who joined the Wet Boot Boys to look after his sick son, Harry. Bitter and sad, Barrett Lewis never dared to resist Mr. Peterson’s violence, perhaps due to the buried secret of the affair he had with his tormentor’s dead wife, and the unclear identity of Harry’s real father. Instead he let his former friend slowly ruin his business. They never settled the crucial question that may have been the key to their sinking friendship: the identity of Harry’s real father. When I took his life, Mr. Lewis was all bitterness and regret concerning his bad choices and lack of courage.","","","","","",""
"C17DE15747A30114A4CF158E969D2C31","Bartender","Корчмар","","","","","",""
"70623ADD4409B68FA2BC5C85292439C6","Bates","Бейтс","","","","","",""
"A7B327F04E2C9A35AE7004AF797E246F","Beatrice","Беатріс","","","","","",""
"D26FB76C4CEE69A2AE37EE802EFBFDEB","Beatrice Goswick","Беатріс Ґосвік","","","","","",""
"E786F82B4127309D47644996FE8DB9B1","Benjamin","Бенджамін","","","","","",""
"B21CED0D4BC628AA0B1026A22F7156CF","Benjamin Palmer, 34 years old, male. A frenzied alcoholic veteran, suffering from heavy psychological trauma since he returned home from the front – most likely shellshock. Mr. Palmer never recovered from the ordeals of the war. He hid his agony in liquor and pills. Unable to hold down a job, he was eventually evicted from his former home after the death of his wife, ending up on the streets with his son Albert, who quickly turned to petty theft. The betrayal of his son was a heavy blow, and Mr. Palmer had no intention to stand back up. He became a part of the sordid landscape of London, begging his way through the city, living off scraps and discarded bottles. There was no fear in his thoughts when I killed him, and his blood had a strangely sour aftertaste.","Benjamin Palmer, 34 years old, male. A frenzied alcoholic veteran, suffering from heavy psychological trauma since he returned home from the front – most likely shellshock. Mr. Palmer never recovered from the ordeals of the war. He hid his agony in liquor and pills. Unable to hold down a job, he was eventually evicted from his former home after the death of his wife, ending up on the streets with his son Albert, who quickly turned to petty theft. The betrayal of his son was a heavy blow, and Mr. Palmer had no intention to stand back up. He became a part of the sordid landscape of London, begging his way through the city, living off scraps and discarded bottles. There was no fear in his thoughts when I killed him, and his blood had a strangely sour aftertaste.","","","","","",""
"C7149786443A29C43FF09C986D783D76","Billow","Billow","","","","","",""
"E2A0D2D842DE1CFA0893E88951955D57","Blight","Blight","","","","","",""
"6B671A26440B8E106BDAB08A8EFAB552","Booth","Буз","","","","","",""
"A92D6190470811B8ADE7D48BA9EF6903","Branagan","Бранаґан","","","","","",""
"AD648D824E2B2EAA67655EB5714C6D53","Bridget","Бріджет","","","","","",""
"6F25EB9F47123420EB0904885D27754F","Butler","Батлер","","","","","",""
"0D5A81E94A2839BB5FCAC2BD00B9F467","Cadogan","Кадоґан","","","","","",""
"5AC2512B4B038C7A8B173A9F669AE9F9","Calhoun","Келгун","","","","","",""
"8C3585D843AFFBB9E658AA975E742465","Camellia","Камелія","","","","","",""
"2ADB4E7E49E0AF39FF10DD812F539A3A","Camellia (nickname), 19 years old, female. An unsolved mystery; a presence that didn't belong amidst the grime of London. The young woman was a mute flower girl, dressed in cheap clothes that managed to bring colour and elegance to her figure - that is about everything anyone knew about her. Her real name, origins, and thoughts remain unknown to all - even to me while I took her life. But she was unanimously praised as a kind and comforting figure in Whitechapel. I am probably the only one who ever heard the voice of Camellia, and it almost struck me when I drank from her. How could I describe it? Soothing wrath? Unforgiving mercy? Her last thoughts sounded like a blessing and a curse. I wonder what otherworldly strength might have animated this woman, which even my abilities couldn't penetrate? To the very end she remained a mystery.","Camellia (nickname), 19 years old, female. An unsolved mystery; a presence that didn't belong amidst the grime of London. The young woman was a mute flower girl, dressed in cheap clothes that managed to bring colour and elegance to her figure - that is about everything anyone knew about her. Her real name, origins, and thoughts remain unknown to all - even to me while I took her life. But she was unanimously praised as a kind and comforting figure in Whitechapel. I am probably the only one who ever heard the voice of Camellia, and it almost struck me when I drank from her. How could I describe it? Soothing wrath? Unforgiving mercy? Her last thoughts sounded like a blessing and a curse. I wonder what otherworldly strength might have animated this woman, which even my abilities couldn't penetrate? To the very end she remained a mystery.","","","","","",""
"4B7F0D2843582C97EB0A01BC0816A85D","Richard sees Camellia as his muse, and a locked mystery"".""","Річард вважає Камелію своєю музою та «замкнутою таємницею».","","","","","",""
"4F51F518406806484046449A36D7F170","Carina","Каріна","","","","","",""
"62B6D82D45AA7EA5A3D4A482CB959C1E","Carol","Керол","","","","","",""
"0B09379B4CD3808666546BA9155384C4","Carolyn","Керолін","","","","","",""
"53AAD8ED436A0BFCBE1F2CB01D3F66AD","Cavendish","Кавендіш","","","","","",""
"E002BDE64EF5548B1F51E28C7F4DAD44","Chanada","Чанада","","","","","",""
"85802D3F4C1DA063F092BC8A7A82A8BD","Charlotte","Шарлотта","","","","","",""
"39CAFB5F4D9D3FE3675EFFA95C26149C","Chemist","Хімік","","","","","",""
"D91C6D0E470841BF3438FFA9FC977ABF","Clarence","Кларенс","","","","","",""
"9952395D40BD8D082D30799ABE67F5CE","Clay","Клей","","","","","",""
"EF7BBD8F4723A652DC4AD4944FEFE94B","Clayton","Клейтон","","","","","",""
"A4C6F8444337ECC11D09D0B922B7D45C","Clayton Darby, 35 years old, male. A journalist who made it his business to reveal the invasive censorship applied to London's newspapers. He interviewed several victims of the Spanish flu and collected testimonies through a varied range of social profiles. He was building a remarkable portrait of London's real face. During his investigation he came to meet the prostitute, Cristina Popa, who pressed him until they engaged in intercourse, a deed that left Mr. Darby with a missing wallet, an undesirable illness, and an even less desirable infatuation. Despite his scorn for her, his last thoughts were obsessed with Ms. Popa. It is likely that, should he have survived the epidemic, or my hunger, Mr. Darby wouldn't have had the courage to confess his feelings for that lady of the night.","Clayton Darby, 35 years old, male. A journalist who made it his business to reveal the invasive censorship applied to London's newspapers. He interviewed several victims of the Spanish flu and collected testimonies through a varied range of social profiles. He was building a remarkable portrait of London's real face. During his investigation he came to meet the prostitute, Cristina Popa, who pressed him until they engaged in intercourse, a deed that left Mr. Darby with a missing wallet, an undesirable illness, and an even less desirable infatuation. Despite his scorn for her, his last thoughts were obsessed with Ms. Popa. It is likely that, should he have survived the epidemic, or my hunger, Mr. Darby wouldn't have had the courage to confess his feelings for that lady of the night.","","","","","",""
"1954C8E8404713DF8EF589B4A19CB739","Clayton and Cristina Popa are very fond of each other.","Clayton and Cristina Popa are very fond of each other.","","","","","",""
"1CC0F2AE4C368EBBFBEC84B704D3F97B","Cristina and Clayton Darby are fond of each other.","Cristina and Clayton Darby are fond of each other.","","","","","",""
"F67023674F45E643B613DCADAF463CBE","Clayton slept with Cristina Popa, when he was supposed to interview her.","Clayton slept with Cristina Popa, when he was supposed to interview her.","","","","","",""
"346901354C1D821409C526AD169D52A6","Corcoran","Коркоран","","","","","",""
"64204F33465B06F17378709D7A9D8049","Cork","Корк","","","","","",""
"BF85EC544B1451FBA90AB3A8F4512280","Cox","Кокс","","","","","",""
"C8F3C63E414B3B6DC59D4C8137073418","Cox","Кокс","","","","","",""
"4775C9D9424F49C0F3CA2E8189C60434","Crane","Крейн","","","","","",""
"9AC9B4464D226A64069E94A50C7268F7","Cristina","Христина","","","","","",""
"27FBF0C94BABD120263B818351505FF1","Crossley","Кросслі","","","","","",""
"C71FD5B54FA937469BE9D7BB870EB8FB","Crossley","Кросслі","","","","","",""
"952EE93540403EF18917628017467B9C","Darby","Дарбі","","","","","",""
"48F4001149F5AC08B110688EB9FCFA24","Darius","Даріус","","","","","",""
"012C1590460C8E3E112A5FBB182DC71E","Darius does not want to see his children anymore, to avoid being a burden to them.","Darius does not want to see his children anymore, to avoid being a burden to them.","","","","","",""
"8DEC6A9842D4830BD57451A6B29A50B1","Darius Petrescu, 63 years old, male. A Romanian activist exiled from his country, and hidden away in England. The nurse Dorothy Crane saved the life of Mr. Petrescu upon his arrival in London. The former rioter made it his duty to protect Ms. Crane's illegal dispensary, and joined her crusade against ailment and poverty. He became well known as her guardian, right arm, and Cerberus. Old age didn't cripple him much as his charisma and imposing presence were enough to scare away thieves or potential menaces. It appears that Mr. Petrescu had some vague knowledge of blood drinkers based on the tales and legends of his homeland, although he didn't link this insight to me. When I killed him, he displayed an exemplary loyalty to Ms. Crane, and blamed himself for dying too soon.","Darius Petrescu, 63 years old, male. A Romanian activist exiled from his country, and hidden away in England. The nurse Dorothy Crane saved the life of Mr. Petrescu upon his arrival in London. The former rioter made it his duty to protect Ms. Crane's illegal dispensary, and joined her crusade against ailment and poverty. He became well known as her guardian, right arm, and Cerberus. Old age didn't cripple him much as his charisma and imposing presence were enough to scare away thieves or potential menaces. It appears that Mr. Petrescu had some vague knowledge of blood drinkers based on the tales and legends of his homeland, although he didn't link this insight to me. When I killed him, he displayed an exemplary loyalty to Ms. Crane, and blamed himself for dying too soon.","","","","","",""
"F340EC13444E5E345FFF0BBBDA11A490","Darius is a former Romanian political activist.","Darius is a former Romanian political activist.","","","","","",""
"3329D8244017B31A8DD007B58DE45DA4","Darius is the right arm of Dorothy Crane.","Даріус — права рука Дороті Крейн.","","","","","",""
"743976A94EE6D9272AEFF4B2696B4D66","Delaney","Ділейні","","","","","",""
