"Key","Source","Translation"
"08A7142A497301DABF745C9335B608D1","I'll follow your advice.","I'll follow your advice."
"6489109D4E5D9AF500674ABA64CF319B","Is it not a little bit excessive?","Is it not a little bit excessive?"
"C6CAF5624EDF4E36B9C3ABBF323CE856","About Albert's death?","About Albert's death?"
"8C36C7F1414DD5D04F8BC7A00AE0C888","About Booth Digby?","About Booth Digby?"
"FEC4CEE94096351DB8674A8814B13D28","Your relationship with Doris Fletcher?","Your relationship with Doris Fletcher?"
"F420AED94063509458DEB68F13AFC7BF","About Dyson Delaney?","About Dyson Delaney?"
"0A61B35645D3715CFBB230B809A0484B","About Giselle Paxton?","About Giselle Paxton?"
"B6210133447884556D601C9B07137B89","About London?","About London?"
"D9DFF05F4215FFC89AE65A882E1FB824","About Sabrina's fear?","About Sabrina's fear?"
"29572CD3401177BEED618AA271A71491","About William Bishop?","About William Bishop?"
"F6B169074F3F7E751A1B53BEF09DE6B5","About me?","About me?"
"9B814A9B4B4C24BF43C5D38635E27D54","About the Docks?","About the Docks?"
"1D0F108143CD7451C46E9A9C2748DD2B","About the Guard of Priwen?","About the Guard of Priwen?"
"CEBA2EB14BD84ABE72D983926112DB95","About the hospital?","About the hospital?"
"7E29BF67453F8B1AA1DD9FB0F1307EFB","About the Wet Boot Boys?","About the Wet Boot Boys?"
"0B7449F04114608F5870B7BB6573E6E9","I have met Lady Ashbury.","I have met Lady Ashbury."
"9E7E8DD24F907EC0C14DEFAC7D5E4C22","About the epidemic?","Щодо епідемії?"
"24DBCDBB4D399E526E253F8D68E4767E","About the man you killed?","About the man you killed?"
"6431D2D149B511B819636A80EAFA90BC","About the neighbourhood?","About the neighbourhood?"
"99536EF347CDE1FBB0564BB4A0AAE6C9","About the neighbourhood?","About the neighbourhood?"
"56C8D281440671938B0D29A6A19914A5","About the patients?","About the patients?"
"A1656B334CDBD6A5F8C3CF94ACDB9EF4","About the vampire you spared?","About the vampire you spared?"
"5B31B7E9498369D4E7A609B64DC336E7","About your Brotherhood?","About your Brotherhood?"
"999903464324C0411A024CB81F3E2ADF","About Your Ladyship?","About Your Ladyship?"
"3183B7244FE39DA1316010AF53156CF6","Your arrest for attempted murder?","Your arrest for attempted murder?"
"39FC635E440F64B27391698F1BF97B6C","About your health?","About your health?"
