"Key","Source","Translation","","","","","","","","","","","","","","","","","","",""
"205F31424703FB9399E4AC94852BAE8C","A fresh sample of William Bishop's blood in a small tube","A fresh sample of William Bishop's blood in a small tube","","","","","","","","","","","","","","","","","","",""
"FC31AA25469311C6CE86DB8D32F207D4","A short note about the acceptance of Albert as a gang member","A short note about the acceptance of Albert as a gang member","","","","","","","","","","","","","","","","","","",""
"3EA4D23B4D1195CB6650788577CFE632","A small diary partially covered with dried blood","Невеликий щоденник частково вкритий сохлою кров'ю","","","","","","","","","","","","","","","","","","",""
"951B1BD44E2EA1AF1B19BF8556EFC023","Small box","Мала коробка","","","","","","","","","","","","","","","","","","",""
"A159D49F4563F1415147239CB2C57A32","Small box","Мала коробка","","","","","","","","","","","","","","","","","","",""
"67CCCE31453EAA456D6CAE8EFE8EEF3E","Large knife","Великий ніж","","","","","","","","","","","","","","","","","","",""
"0BE5B5FB4835FE036A3E4A8C26B879D2","Laboratory code","Код від лабораторії","","","","","","","","","","","","","","","","","","",""
"142C9364482CE556EB61069BFA7175F7","A small box containing a few trinkets and a letter","A small box containing a few trinkets and a letter","","","","","","","","","","","","","","","","","","",""
"5EB80F8D415BF688ACFC04B825345BF2","Editor refusal letter","Editor refusal letter","","","","","","","","","","","","","","","","","","",""
"01508AD54EE5ED205624A583EEE59180","A refusal letter sent to Richard Nithercott","A refusal letter sent to Richard Nithercott","","","","","","","","","","","","","","","","","","",""
"86BD1EB7428B396741633E8EF17FCB5E","A creased note from the Guard of Priwen","A creased note from the Guard of Priwen","","","","","","","","","","","","","","","","","","",""
"AE957C68497C1680A61F06BE7A43E6DD","27th October<lf><lf>From: Guard of Priwen command post<lf>To: Dock Patrols<lf>Object: vampire hunter – fraud – avoid<lf><lf>Some of our scouts recently spotted the presence of a certain Ichabod Throgmorton near the East End Docks. You’ll probably see him patrolling the place at night, claiming that he’s a specialist of vampire extermination. The man is a fraud. Not even a real conman, for he does not charge anybody for the work, but he clearly has no clue what he’s talking about. If he ever approaches you for some joined hunt or collaboration, refuse and let him go. In a leech fight, the man is nothing more than bait.","27th October<lf><lf>From: Guard of Priwen command post<lf>To: Dock Patrols<lf>Object: vampire hunter – fraud – avoid<lf><lf>Some of our scouts recently spotted the presence of a certain Ichabod Throgmorton near the East End Docks. You’ll probably see him patrolling the place at night, claiming that he’s a specialist of vampire extermination. The man is a fraud. Not even a real conman, for he does not charge anybody for the work, but he clearly has no clue what he’s talking about. If he ever approaches you for some joined hunt or collaboration, refuse and let him go. In a leech fight, the man is nothing more than bait.","","","","","","","","","","","","","","","","","","",""
"7E354CA44E8DEF12AC2712BC388DA7E5","Guard of Priwen note","Guard of Priwen note","","","","","","","","","","","","","","","","","","",""
"A620F0F9485638EE2F8F88AACFBF3517","Guard of Priwen note","Guard of Priwen note","","","","","","","","","","","","","","","","","","",""
"6632459C48A902A5CB6035B0FF2FEE2D","A personal notebook labelled like this: personal propriety of Usher Talltree - read it and face my wrath""""","A personal notebook labelled like this: personal propriety of Usher Talltree - read it and face my wrath""""","","","","","","","","","","","","","","","","","","",""
"39A200DC4C2C8E6B2837BD847F1E0D72","Loretta's letter","Лист Лоретти","","","","","","","","","","","","","","","","","","",""
"D1A3B3FF44F894A1152C9FA67CD1907D","Petition letter","Лист-прохання","","","","","","","","","","","","","","","","","","",""
"B015FE274C3BC6F84DA29B977CFFE473","Letter to nurse Crane","Лист медсестрі Крейн","","","","","","","","","","","","","","","","","","",""
"EB8E3F1E461D014B8338C7A7C3B6F861","A handwritten letter addressed to Nurse Crane","Рукописний лист, адресований медсестрі Крейн","","","","","","","","","","","","","","","","","","",""
"370957874E83D79128BAA7BBB9F09A17","Job refusal letter","Лист відмови в роботі","","","","","","","","","","","","","","","","","","",""
"D27E4AF640239E2BCBD51A8FFC7488B1","Poem","Поема","","","","","","","","","","","","","","","","","","",""
"C0820D074B69CCF943BED28E9EDA989A","Chemist diary","Щоденник хіміка","","","","","","","","","","","","","","","","","","",""
"D20BA4BA4B4B89C22A66A592B2B61EB4","A few numbers written by Mason Swanborough on a small paper","A few numbers written by Mason Swanborough on a small paper","","","","","","","","","","","","","","","","","","",""
"6F04B7774BE5ACB3520477B84EC8E05B","A long diary","Докладний щоденник","","","","","","","","","","","","","","","","","","",""
"D6D43B63427FE0D14C3B30BABF33EEF2","A beautiful and warm woollen scarf with a traditional Romanian pattern","A beautiful and warm woollen scarf with a traditional Romanian pattern","","","","","","","","","","","","","","","","","","",""
"4AF51A374E6648C66E2472BBC93A62F8","An unreadable text written in Braille alphabet, with just the title in Roman alphabet: Cure for blindness""""","An unreadable text written in Braille alphabet, with just the title in Roman alphabet: Cure for blindness""""","","","","","","","","","","","","","","","","","","",""
"5E2F987D4DF8B71E74DF4F96EA7BB6CB","Personal notebook","Особистий записник","","","","","","","","","","","","","","","","","","",""
"60D33E514F13F68C5351CB874F1F12DD","Wet Boot Boys note","Wet Boot Boys note","","","","","","","","","","","","","","","","","","",""
"8C336215498402D10B5A28BDF26F3213","Wet Boot Boys note","Wet Boot Boys note","","","","","","","","","","","","","","","","","","",""
"3AF390AE47B7491C8A3C898186B2CBB6","Personal diary","Особистий щоденник","","","","","","","","","","","","","","","","","","",""
"ECE2FA124CB8791EA731A3B1228E4BEC","Personal diary","Особистий щоденник","","","","","","","","","","","","","","","","","","",""
"7782CFE5409DEBD133ADDB905B2702AF","Wool scarf","Вовняний шарф","","","","","","","","","","","","","","","","","","",""
"BD89C17548D18D22348157AAD63895DA","Wool scarf","Вовняний шарф","","","","","","","","","","","","","","","","","","",""
"37D3303A4E1D2234AEF7AE9EC80E737E","A refusal letter sent to Joe Peterson","A refusal letter sent to Joe Peterson","","","","","","","","","","","","","","","","","","",""
"4215C7904203EE1C523A4AB187C9FD29","A beautiful and warm woollen scarf with a traditional Romanian pattern","A beautiful and warm woollen scarf with a traditional Romanian pattern","","","","","","","","","","","","","","","","","","",""
"14FD59F045F7EB558A7B63A618CB2F3D","A copy of an article addressed to the Brothers of Saint Paul's Stole","A copy of an article addressed to the Brothers of Saint Paul's Stole","","","","","","","","","","","","","","","","","","",""
"19874CD1470EB0F2923D878D31602128","A copy of an article addressed to the Brothers of Saint Paul's Stole","A copy of an article addressed to the Brothers of Saint Paul's Stole","","","","","","","","","","","","","","","","","","",""
"4F605DCA473FAB45B5765DBE9B098D56","A copy of an article addressed to the Brothers of Saint Paul's Stole","A copy of an article addressed to the Brothers of Saint Paul's Stole","","","","","","","","","","","","","","","","","","",""
"6F7C32674403F5165315D59BC0B1FADD","A copy of an article addressed to the Brothers of Saint Paul's Stole","A copy of an article addressed to the Brothers of Saint Paul's Stole","","","","","","","","","","","","","","","","","","",""
"7B98F2A14C871DA34389C0AA58A477AD","A copy of an article addressed to the Brothers of Saint Paul's Stole","A copy of an article addressed to the Brothers of Saint Paul's Stole","","","","","","","","","","","","","","","","","","",""
"7ECA42E84D373FE1DD74528F6C167F16","A copy of an article addressed to the Brothers of Saint Paul's Stole","A copy of an article addressed to the Brothers of Saint Paul's Stole","","","","","","","","","","","","","","","","","","",""
"D4D7AF4040CE63AEDA398982A0A6B5AA","A copy of an article addressed to the Brothers of Saint Paul's Stole","A copy of an article addressed to the Brothers of Saint Paul's Stole","","","","","","","","","","","","","","","","","","",""
"EC8961EA4AE4A05EBBDCD48B468E6E5D","A copy of an article addressed to the Brothers of Saint Paul's Stole","A copy of an article addressed to the Brothers of Saint Paul's Stole","","","","","","","","","","","","","","","","","","",""
"3C70D86242EBFAAC3C5599BA7AA03CFF","A modern leaflet printed on cheap paper","Листівка, надрукована на дешевому папері","","","","","","","","","","","","","","","","","","",""
"4163A5A84AE34D8EA4679989424776D6","A modern leaflet printed on cheap paper","Листівка, надрукована на дешевому папері","","","","","","","","","","","","","","","","","","",""
"6C874AFD4609F79D6568BC8E40E7795D","A modern leaflet printed on cheap paper","Листівка, надрукована на дешевому папері","","","","","","","","","","","","","","","","","","",""
"A837B2394552DD21FEEF1F8D50800EDF","A modern leaflet printed on cheap paper","Листівка, надрукована на дешевому папері","","","","","","","","","","","","","","","","","","",""
"01C26E394BB5E0292F07C09D07A57FBF","A page probably stolen from some sort of manual or guide","A page probably stolen from some sort of manual or guide","","","","","","","","","","","","","","","","","","",""
"5EFEC409439470849FA2FE8BA10C85C6","A page probably stolen from some sort of manual or guide","A page probably stolen from some sort of manual or guide","","","","","","","","","","","","","","","","","","",""
"65B6D0534FA8E48D9D47208934076703","A page probably stolen from some sort of manual or guide","A page probably stolen from some sort of manual or guide","","","","","","","","","","","","","","","","","","",""
"94095C424550BC5A0D043B8FF6F73E5C","A page probably stolen from some sort of manual or guide","A page probably stolen from some sort of manual or guide","","","","","","","","","","","","","","","","","","",""
"9D343E8B4A4E20F3027D78A352C4036B","A page probably stolen from some sort of manual or guide","A page probably stolen from some sort of manual or guide","","","","","","","","","","","","","","","","","","",""
"A7165419452CE0FAB1D570B8529C0035","A page probably stolen from some sort of manual or guide","A page probably stolen from some sort of manual or guide","","","","","","","","","","","","","","","","","","",""
"E485D5C04D02D6005978008D550DC642","A page probably stolen from some sort of manual or guide","A page probably stolen from some sort of manual or guide","","","","","","","","","","","","","","","","","","",""
"F66710AF47A10DA20379329679D94296","A page probably stolen from some sort of manual or guide","A page probably stolen from some sort of manual or guide","","","","","","","","","","","","","","","","","","",""
"BCD2044A448208C97568FDAD87F6A660","A rat in the hospital","Пацюк у лікарні","","","","","","","","","","","","","","","","","","",""
"0989AB974E7D48064FFB178843F39235","A short text printed on expensive paper","Короткий текст, надрукований на дорогому папері","","","","","","","","","","","","","","","","","","",""
"22CD6BC3445687259C4A8AB3643B4C9E","A short text printed on expensive paper","Короткий текст, надрукований на дорогому папері","","","","","","","","","","","","","","","","","","",""
"3696D2EC41887FFD91311FBA27EACBF2","A short text printed on expensive paper","Короткий текст, надрукований на дорогому папері","","","","","","","","","","","","","","","","","","",""
"5B311B894DE6DB1FA884819138C046DB","A short text printed on expensive paper","Короткий текст, надрукований на дорогому папері","","","","","","","","","","","","","","","","","","",""
"5BD10F1D4DEFD998DC9B59803CE7F471","A short text printed on expensive paper","Короткий текст, надрукований на дорогому папері","","","","","","","","","","","","","","","","","","",""
"754D4ECD4812A92F45BAE8A48FDA374F","A short text printed on expensive paper","Короткий текст, надрукований на дорогому папері","","","","","","","","","","","","","","","","","","",""
"E15CFA6C4710285B92E0C68981B99B49","A short text printed on expensive paper","Короткий текст, надрукований на дорогому папері","","","","","","","","","","","","","","","","","","",""
"1A6AF3924163DE1E1AD2A38062B6FA83","A strong key with a tag saying London East End Sewer - access reserved to authorized staff only""""","A strong key with a tag saying London East End Sewer - access reserved to authorized staff only""""","","","","","","","","","","","","","","","","","","",""
"F9CF2D6B403C52A7F46E13ACC80776EC","Agamemnon","Агамемнон","","","","","","","","","","","","","","","","","","",""
"81C0669242FC212FC1DDBF965CC3012C","Albert","Альберт","","","","","","","","","","","","","","","","","","",""
"D1C559D64DD6D6BF1153E1A7BB837E47","Promising recruit","Promising recruit","","","","","","","","","","","","","","","","","","",""
"626E56F74EA8480C7E89E7A92E00189A","They are among us","Вони серед нас","","","","","","","","","","","","","","","","","","",""
"ADE1B7B2480F88E43A94929D27FBF174","Aloysius","Алоїз","","","","","","","","","","","","","","","","","","",""
"87829E574511BBB46574C09933B83447","Analyse William Bishop's blood at the workbench","Дослідіть кров Вільяма Бішопа на верстаку","","","","","","","","","","","","","","","","","","",""
"BFC3FE1C4E2143FD21A813B6A8E783ED","And by the sword you die","І від меча ти помреш","","","","","","","","","","","","","","","","","","",""
"7317F8EB44634A0808827484A94543D8","Antidote","Протиотрута","","","","","","","","","","","","","","","","","","",""
"E07EDBA5464B2BCFC470B0BA435172C1","Antidote","Протиотрута","","","","","","","","","","","","","","","","","","",""
"DFCD3BD94A76FFE1EA5FF2A2157D9FF4","A serum created by following the Tear Of Angels recipe, with insulin instead of garlic to enhance protection against Disaster's infection","A serum created by following the Tear Of Angels recipe, with insulin instead of garlic to enhance protection against Disaster's infection","","","","","","","","","","","","","","","","","","",""
"C78BDF664F43338ED50BC69AC00FDF07","Archer","Арчер","","","","","","","","","","","","","","","","","","",""
"2F034F8B4ECD13DB1AD03AA8903B2A47","Avery","Ейвері","","","","","","","","","","","","","","","","","","",""
"CD6701EC44526AC05AEFFFAFF9E6B381","A journey to the past","Подорож у минуле","","","","","","","","","","","","","","","","","","",""
"F470406549D7229DF004A9A0227C0CA6","I have discovered part of my father’s testament. Maybe, if I take time to investigate further, I may finally find out why he disappeared all those years ago.","I have discovered part of my father’s testament. Maybe, if I take time to investigate further, I may finally find out why he disappeared all those years ago.","","","","","","","","","","","","","","","","","","",""
"268BA7F24D5C996289FA88B59126D728","BACK","НАЗАД","","","","","","","","","","","","","","","","","","",""
"3C1E14644381B52347B389BC645F641B","BACK","НАЗАД","","","","","","","","","","","","","","","","","","",""
"8F8C6B5F4848DD8B443D02A1CD4FEBC6","BACK","НАЗАД","","","","","","","","","","","","","","","","","","",""
"C870607F4219D850ADE336AB16F55A53","BACK","НАЗАД","","","","","","","","","","","","","","","","","","",""
"04688F83487B36A2FC377AB329A1BE82","BP_Spawner","BP_Spawner","","","","","","","","","","","","","","","","","","",""
"8C8827E34F24DD1D5178F2AE6F083B01","BP_Spawner","BP_Spawner","","","","","","","","","","","","","","","","","","",""
"22AE18D84B80D70D972FD48C13748616","BP_Spawner10","BP_Spawner10","","","","","","","","","","","","","","","","","","",""
"B7303F2D4488D0713AC0B1ADBB0989E2","BP_Spawner10","BP_Spawner10","","","","","","","","","","","","","","","","","","",""
"3EE3D9D74CD952D6B50EC7B2EA093444","BP_Spawner11","BP_Spawner11","","","","","","","","","","","","","","","","","","",""
"8F2B6FF64D395F4905B4CE84A9DDB36C","BP_Spawner19_FactionFight","BP_Spawner19_FactionFight","","","","","","","","","","","","","","","","","","",""
"E2643F9C4C48BA1575A10DAFA99E4079","BP_Spawner2","BP_Spawner2","","","","","","","","","","","","","","","","","","",""
"4EDD325D4B478C8C3078269C896B462B","BP_Spawner20","BP_Spawner20","","","","","","","","","","","","","","","","","","",""
"1916C7134F8F065AE1874CAE1D21868B","BP_Spawner22","BP_Spawner22","","","","","","","","","","","","","","","","","","",""
"A3130186404EE7B31887218B76131FC0","BP_Spawner27","BP_Spawner27","","","","","","","","","","","","","","","","","","",""
"83B376404E941C10862B789004DEE5E5","BP_Spawner3","BP_Spawner3","","","","","","","","","","","","","","","","","","",""
"30C0F6DB40F97B68CFD5CBBBE8DBAAEF","BP_Spawner30","BP_Spawner30","","","","","","","","","","","","","","","","","","",""
"2B81C0EF4BA085323DA678AA81D0246D","BP_Spawner31","BP_Spawner31","","","","","","","","","","","","","","","","","","",""
"3D9386D64C8533030D6093A1B93DC2C0","BP_Spawner35","BP_Spawner35","","","","","","","","","","","","","","","","","","",""
"A0B5FDE442A7953F88AF8DBE2C807128","BP_Spawner38","BP_Spawner38","","","","","","","","","","","","","","","","","","",""
"47F9DEEE4E93A1D1B82120B43D6ADE0C","BP_Spawner4","BP_Spawner4","","","","","","","","","","","","","","","","","","",""
"A1704DBF4CB1952095C6088C578A0E89","BP_Spawner5","BP_Spawner5","","","","","","","","","","","","","","","","","","",""
"DCFC7ED547540945F6A4BCAA5AB46516","BP_Spawner5_Ambush","BP_Spawner5_Ambush","","","","","","","","","","","","","","","","","","",""
"F2A8ACA14EC0CBD1BA30AB86CED832FF","BP_Spawner6","BP_Spawner6","","","","","","","","","","","","","","","","","","",""
"EA8F53BA4780768F3BE00C8C3EDAAADA","BP_Spawner_Bottom","BP_Spawner_Bottom","","","","","","","","","","","","","","","","","","",""
"E2503DB141A3C5EB37601E898173DB8B","BP_Spawner_Center_A","BP_Spawner_Center_A","","","","","","","","","","","","","","","","","","",""
"89175111485BDCD777A99AA792C933E3","BP_Spawner_Center_B","BP_Spawner_Center_B","","","","","","","","","","","","","","","","","","",""
"44F9418B480331FBA5DB1E8A3C8FECDC","BP_Spawner_ChallengeSewers","BP_Spawner_ChallengeSewers","","","","","","","","","","","","","","","","","","",""
"2F761E114A94EB3259FD8182736217ED","BP_Spawner_ChallengeSewers2_Priwens","BP_Spawner_ChallengeSewers2_Priwens","","","","","","","","","","","","","","","","","","",""
"45E6DDF8470D2C8134217E8A2DD71250","BP_Spawner_Top_0","BP_Spawner_Top_0","","","","","","","","","","","","","","","","","","",""
"C3AD2CBA4152EB137B3B9195C29626BC","BP_Spawner_Top_1","BP_Spawner_Top_1","","","","","","","","","","","","","","","","","","",""
"6EF3619941F944B3D9343EA30DE42C79","BP_Spawner_Top_2","BP_Spawner_Top_2","","","","","","","","","","","","","","","","","","",""
"BD169FB248D300B244CCE6BF94F40F39","Barrett","Барретт","","","","","","","","","","","","","","","","","","",""
"A7B327F04E2C9A35AE7004AF797E246F","Beatrice","Беатріс","","","","","","","","","","","","","","","","","","",""
"E786F82B4127309D47644996FE8DB9B1","Benjamin","Бенджамін","","","","","","","","","","","","","","","","","","",""
"D1D6109F43AE231512F5F1950AF32DC8","Blackmail In Whitechapel","Шантаж у Вайтчепелі","","","","","","","","","","","","","","","","","","",""
"87638A2044C8535B5DD9E98760D6FA89","Board the boat","Сядьте у човен","","","","","","","","","","","","","","","","","","",""
"6B671A26440B8E106BDAB08A8EFAB552","Booth","Буз","","","","","","","","","","","","","","","","","","",""
