"Key","Source","Translation"
"C8AD87144A587EF8B684D68ABF08F4C1","(Invalid mod)","(Invalid mod)"
"0EA381DD48E2AF4D70DD368600BC0315","(No description set)","(Немає опису)"
"E944C1234A9A297D1461F6A21C410CD0","+ {0} Base damage","+ {0} базова шкода"
"7F5394614C4C18D8C6167DB975AFFF6C_DisplayedText3","+ {0} Damage","+ {0} шкода"
"311B0AA8411CDA2D785D3B9BA59EF308_DisplayedText3","+ {0} Damage over time","+ {0} шкоди з часом"
"4D64868240DC96C13FA11180866B1476_DisplayedText3","+{0} Impact","+{0} Вплив"
"FEB749254D59A062658EAB8C46B6352F_DisplayedText3","+ {0} Penetration","+ {0} Пробиття"
"B752EC1945307099BC9C3B88C7393666_DisplayedText3","+ {0}% Critical hit chance","+ {0}% Шансу критичного удару"
"8AF2AC6F49FBED5F667C92B456124F63_DisplayedText3","+ {0}% Fire rate","+ {0}% швидкострільності"
"E1AE3F5F44CC60012B130882DBAE652F_DisplayedText3","+ {0}% Reload speed","+ {0}% швидкості перезаряджання"
"3BFD392747EE1138CDF2D4B5ABE73264_DisplayedText3","+ {0}% Slow enemy","+ {0}% сповільнення ворога"
"7BCBA9B84E3D54E1F409ADA87451BA67_DisplayedText3","+ {0}% Snare enemy","+ {0}% Snare enemy"
"6CAB5282458EAF8BD7A428880B342566","+{0} after hit","+{0} після удару"
"A7A6234943F96977D616C68CB5056AB7","+{0} after hit","+{0} після удару"
"067F8E94446004CF59967A9CD92747F9","+{0} aggrav","+{0} aggrav"
"798B9E194708D180F9D8C886C2E361B7","+{0} damage","+{0} до шкоди"
"A6CC591148AC9421407FE2BE10B043CF","+{0} damage","+{0} до шкоди"
"D3B8F452407A040320EE2385160142B3","+{0} damage","+{0} до шкоди"
"2EE330064DAA8B106BC587AD1F7E3E82","+{0} reload speed","+{0}% швидкості перезаряджання"
"444A3F4D4595B59B459DBDB161D6D57A","+{0} speed","+{0} до швидкості"
"8B1838C949D090C4F24760BF00058977","+{0}%","+{0}%"
"55209CBC482AEB4247A33EBB445961B0","AGGRESSIVE","НАПАД"
"EF4568B94A2A6C1553B1E8B56D0DD2D3","AGGRESSIVE","НАПАД"
"066A54E64D549ADE46DE528CAE97D40F","Already<cf>Chosen","Уже<cf>обрано"
"0ACD4DD84E9E7FFF63F4B4B35ECE44FC","Already analysed!","Уже досліджено!"
"2947DE8A4D472306D1F046880B5E6332","Are you finished spending points? After you quit this menu, you will not be able to spend skill points until you next sleep.","Are you finished spending points? After you quit this menu, you will not be able to spend skill points until you next sleep."
"DEFD15B44BC145B937D4C0A21551BA4D","BLOOD GAIN","BLOOD GAIN"
"4075B1C44EB159836AEA588C1A443B74","Blood Cost","Вартість крові"
"0266981541C4746EBA026FA026ECAE6E","Buy","Купити"
"C713102A4EB9695A3564BFB5B12D38F2","CHARACTER","ПЕРСОНАЖ"
"692E0A8C4B8FC4FD088BB0BDCF04FB96","CITIZEN","МІСТЯНИ"
"6C4023CF448897B3539CB3855A941710","COAGULATION","ЗСІДАННЯ КРОВІ"
"510282E24222A1779AF1FAB552B887EC","Cast Time","Час виконання"
"B7E63FA147B8391A2371B297F1D7456C","Check the mission details","Перевірте подробиці місії"
"5BFE9498406170C45372D3B2DC44115C","Citizens Unlocked","Citizens Unlocked"
"F4A320A7469132285B1D4BB9064A4DE5","Confirm","Підтвердити"
"6C81B0D44272D298A15B1F872F6F01B8","Current: {Current}<cf>Max: {MaxLevel}<cf>Branch: {Branch}<cf>Starting: {Starting}<cf>ToUnlock: {Unlock}<cf>Pts: {Points}<cf>Total Nodes: {TotalNodes}<cf>Max Switch Idx: {MaxSwitchIdx}<cf>Nodes in Branch Bit: {NodesInBranchBit}","Current: {Current}<cf>Max: {MaxLevel}<cf>Branch: {Branch}<cf>Starting: {Starting}<cf>ToUnlock: {Unlock}<cf>Pts: {Points}<cf>Total Nodes: {TotalNodes}<cf>Max Switch Idx: {MaxSwitchIdx}<cf>Nodes in Branch Bit: {NodesInBranchBit}"
"2BCE4BDF4FDAFA00232A5E8755D84B55","DECEASED","DECEASED"
"ACEA76814A859206108CC58F01C55B0B","DEFENSIVE","ЗАХИСТ"
"E0C21AD548A85198C55A9DB38CBFEB19","DEFENSIVE","ЗАХИСТ"
"7CAC84CB42F6DE74366E8A8BEA082E6C","Damage Type","Тип шкоди"
"4C30C7CE40C9DAD7A7F78B976346194E","Damage:","Шкода:"
"D069156045262A83A2E6DEA0A1F37B56","Damage:","Шкода:"
"B2CFC4A64EC3F4DE1A121A856A261020","Description","Опис"
"09062F3142540C076CC3F6A58310125C","Details","Деталі"
"0BAF217041000852FDBFF09415B42AE6","Details","Деталі"
"38E00A274B2C6F161D2A518CB309F564","DistrictName","DistrictName"
"EB6C07A94A0D0C75846F2B9E6A4D2EBF","Effects","Ефекти"
"BAABD2FB42AF9E46E04A2FA501A22696","Embrace","Embrace"
"BE3122F24F7866B8711C7DB8A9C648DC","Failed","Failed"
"50E625C64F4B7890561DE1B5EA494063","Found nearest!","Found nearest!"
"72F1790C4CFAD936A2239890C53765E7","Hello","Привіт"
"7E965C1F4A0B5C45D8274F91B5C22224","INVENTORY","ІНВЕНТАР"
"CC300E46457BC1D493C61589CDAA46CA","Important message","Важливе повідомлення"
"F7F68A5C4E1C4A599A72ECB3E3801485","Ingredients","Складники"
"C75B892D49F8ED11A1D4E8A2C20BD239","LEFT TRIGGER","LEFT TRIGGER"
"A37B487E412FE7514F7829A4E99403A0","Leave","Покинути"
"9690762348105B07B2664CB245D8A491","Level {Level}","Рівень {Level}"
"B0083CFE45D1EBE83C676BBD0DC552B6","MAP","МАПА"
"90F097D74F895A0EC3621CA92B7316B3","MapItem","MapItem"
"708606364D86EF28DDF36C937C0A88D3","Mission","Місія"
"AE82511A4C23CD7BF8C6C4ACBA3BAB0E","NOW LOADING ...","ЗАВАНТАЖЕННЯ..."
"0B2AC2904C2AC34D7C1EDC9D24A15608","No effects","No effects"
"13460A02443570D1245F19A098239E95","None","Немає"
"663873A540E8C557605C7D957111FFD4","Not yet analysed","Не проаналізовано"
"F791AE7444D2DB6FF07CF6BA2BAC7E28","Off-hand","Вторинна"
"23C70FB844F3396D09B72BB05696B809","PASSIVE","ПАСИВНА"
"61B2D28C44B16C6FED12C0A2CF462A28","Please wait... loading...","Зачекайте... завантажується..."
"E0BB8F164C8A1C066E367687FD67850D","QUEST","КВЕСТ"
"18610F1843DE7B299265CFBEAAC334D9","RIGHT TRIGGER","RIGHT TRIGGER"
"74887CE841C59F6DBF42D1945A9AE233","Saved: {Valid}<cf>Current: {Current}","Saved: {Valid}<cf>Current: {Current}"
"713615834376375EA196ACACE5AD73C5","Sell","Продати"
"8636992D44F4DD342412BE88752154AB","Something","Something"
"08989EBE488D719282F83288C3DD8DB4","Spend Points","Витратити очки"
"742A92124345427C63E798A472418131","TACTICAL","ТАКТИКА"
"EF8E7DE54A1084F669E5F6AA503015ED","TACTICAL","ТАКТИКА"
"63839C63416ADF870D4CBB84E567D0A8","Take all","Узяти все"
"25A3596A418546B8A3EEC0A1AEAD7089","The amount of blood used when the power is activated.","The amount of blood used when the power is activated."
"BC2140094DD27272B422F1A5AF6F5C42","The shorter the bar, the quicker the power becomes available again after use.","The shorter the bar, the quicker the power becomes available again after use."
"6A3150EB404BC6D9478F89A8269B31C0","The shorter the bar, the quicker the power can be activated.","The shorter the bar, the quicker the power can be activated."
"D9D448BF44540195EA848297AEAAAF70","Two-handed","Дворучна"
"9B21B0114631ECB28CDF56B693F614BB","ULTIMATE","ULTIMATE"
"D2E9D0964FFFFE50D15F429E6F8C4AD1","ULTIMATE","ULTIMATE"
"0572D7884C16E9F18F7D0191C6F4542A","Unknown","Невідомо"
"BC8A765D4208CA365804879276862768","Unknown","Невідомо"
"5B65A99D4BB5A1FB115F73B0EBD5092C","Unknown language","Невідома мова"
"08B1B7BC4FA3B24957464C972AC23E26","Unlocked","Розблоковано"
"CDF3600F49BEC3FDA2B5CEBE8A547978","View","View"
"323C7FFF429D8F745069A099BB588BF7","[+20% snare enemy]","[+20% snare enemy]"
"D33B625C498BC1B251C4E1AF387FC0B0","[Left]","[Уліво]"
"3F8AF52C43185E75A721FE84F8E43791","[Level]","[Рівень]"
"FF0E6AA9453A9069E8D82F9ADD9761F9","[Module]","[Module]"
"31C0CC9B4B8CDACB976445A29D61E6F9","[Money]","[Гроші]"
"D382E4C745CA90D38A12EABB41BB46B6","[Right]","[Управо]"
"8844B8794838D032B55F628EB4B29CB6","{0} blood gained","{0} blood gained"
"B7DB19194761BCDFBC7BF19D9C7C72B7","{0} endurance consumed","{0} endurance consumed"
"F01A933F432ECBDA937E84B438328F79","{0} of ???","{0} of ???"
"701B307A49FF28CBDA2DA08E4CB632E5","{0} of ??????","{0} of ??????"
"8F6FA98C41F7994905CB8F9EB86F74A7","{0} points of blood damage","{0} одиниць кров'яної шкоди"
"8899B4A946FFE72F2A2447B5AE286792","{0} points of chemical damage","{0} одиниць хімічної шкоди"
"0859DF2447EF03D005928FB975169B35","{0} points of damage healed","{0} points of damage healed"
"55B1E2F74A1C6A420640049E683595F2","{0} points of fire damage","{0} одиниць вогняної шкоди"
"A2C493E540D62C71198B2CBBCB2F2C38","{0} points of instinct damage","{0} points of instinct damage"
"B7DCEA5A47AB3E1369982A983BB07D59","{0} points of melee damage","{0} points of melee damage"
"F71555DF48D6607DAE84619A14F97B9A","{0} points of pure damage","{0} одиниць чистої шкоди"
"D1083BD646DE1414C580559854A6530E","{0} points of ranged damage","{0} points of ranged damage"
"B9CF8A6F420DCB2684F53F878008F035","{0} points of shadow damage","{0} одиниць тіньової шкоди"
"C55D69BC4E0E9A053AE43FB11C2144D3","{0} points of shield","{0} points of shield"
"063CC87441E215E803AC358550AC7E67","{0} points of stun","{0} очок приголомшення"
"4A97DDE346816A21DDE46A94442FB550","{0} seconds of control","{0} секунд влади"
"650466114BC596CAD683F4907645D987","{0} seconds of duration","{0} секунд тривалості"
"676A8CAC4828DFAEEBC823AFFE7771D0","{0} seconds of stealth","{0} секунд скритності"
"0C8F2BC545FCD1EC6EDABEA8645FCCD4","{Input} vs humans","{Input} проти людей"
"BFD8A1224730E84BBE5C069E97008577","{Input} vs humans","{Input} проти людей"
"E9A7F66D44F48C63BE290A9F70A8D129","{Input} vs vampires","{Input} проти вампірів"
"F5722F814431B56F8AF8E08AB6461D44","{Input} vs vampires","{Input} проти вампірів"
"E1F704EB4644E92A5CB107AF8C93487F","{ItemsRequired}x cures {DiseaseName}","{ItemsRequired}x лікує {DiseaseName}"
"[015FBD1542321CEE0F121F8150E1FD54]::E1A552004A807BEFFA61DE897A6EA4A2","Level","Рівень"
"[015FBD1542321CEE0F121F8150E1FD54]::BADBAA044F55E39468B16B8F90AFCBF1","Power & Mesmerise Level","Сила та рівень очарування"
"[0276A83144E0060E60C1889E17D97475]::3F50DE9D49A1C03FD9C2368BD7C6136E","ACTIVES","ACTIVES"
"[0276A83144E0060E60C1889E17D97475]::C60AEB2D4019D188DFA6FABA3A198A11","Character","Персонаж"
"[0276A83144E0060E60C1889E17D97475]::4002DD964AC26DBCA6C49CBF213257D0","Details","Деталі"
"[0276A83144E0060E60C1889E17D97475]::58EA29D345AF6218257CDB90817CD977","ITEM 1","ПРЕДМЕТ 1"
"[0276A83144E0060E60C1889E17D97475]::18FDC3B441126EBDC9E736B5F6882EDF","ITEM 2","ПРЕДМЕТ 2"
"[0276A83144E0060E60C1889E17D97475]::C17963984FFC29992B2D7D968494EB0C","Jonathan Reid","Джонатан Рід"
"[0276A83144E0060E60C1889E17D97475]::D05FE460477E7D58785DE098E7DD67B6","MAIN HAND","ГОЛОВНА РУКА"
"[0276A83144E0060E60C1889E17D97475]::DA2CF16C483458353B8167BFB00B965A","MAIN WEAPON 1","ГОЛОВНА ЗБРОЯ 1"
"[0276A83144E0060E60C1889E17D97475]::34E7341D4C269DC05840BC9DD4A2FEC0","MAIN WEAPON 2","ГОЛОВНА ЗБРОЯ 2"
"[0276A83144E0060E60C1889E17D97475]::8B8DB1604E0A284EC77F3081D51CDD3C","OFF HAND","ВТОРИННА"
"[0276A83144E0060E60C1889E17D97475]::DA03459947E5BF6978915B939E8FDDA4","OFF WEAPON 1","ВТОРИННА ЗБРОЯ 1"
"[0276A83144E0060E60C1889E17D97475]::792764FB41A8428A3C40009D789CE47B","OFF WEAPON 2","ВТОРИННА ЗБРОЯ 2"
"[0276A83144E0060E60C1889E17D97475]::DB700E44479F71E236402BA3ADC5EDA9","PASSIVES","ПАСИВКИ"
"[0276A83144E0060E60C1889E17D97475]::9850FF374690BFF01D326B97E23F314A","SKILL 1","ЗДІБНІСТЬ 1"
"[0276A83144E0060E60C1889E17D97475]::C39E5AC0414B13A6A19350914AC7BDF8","SKILL 4","ЗДІБНІСТЬ 4"
"[0276A83144E0060E60C1889E17D97475]::BEE65BC240FBBE86CDD34CA183EBBE77","SERUMS","СИРОВАТКИ"
"[0276A83144E0060E60C1889E17D97475]::366A151146F9E83EB8496E9E93ADD2B2","SKILL 2","ЗДІБНІСТЬ 2"
"[0276A83144E0060E60C1889E17D97475]::84A1463D4232097526AE75800FB6DA6C","SKILL 3","ЗДІБНІСТЬ 3"
"[0276A83144E0060E60C1889E17D97475]::3986A5744ABCB3F35333F6936125FE96","ULTIMATE","ULTIMATE"
"[0276A83144E0060E60C1889E17D97475]::26908B8C44D2EC0C4A49EDB0938C5945","ULTIMATE POWER","ULTIMATE POWER"
"[02D625AE4F4305F72827FF93B57F18A6]::908853A8493A449A9EE308B0F43BCC5A","Are you finished spending points? After you quit this menu, you will not be able to spend skill points until you next sleep.","Are you finished spending points? After you quit this menu, you will not be able to spend skill points until you next sleep."
"[02D625AE4F4305F72827FF93B57F18A6]::A1CDC4484C9022A90CF3ED87632778EA","Do you really want to cancel and lose all your modifications?","Do you really want to cancel and lose all your modifications?"
"[02D625AE4F4305F72827FF93B57F18A6]::8ADC1ECF4E38DE29AA073BA6EF857D95","No","Ні"
"[02D625AE4F4305F72827FF93B57F18A6]::74F20AC94DFD86B1BC0982BB0F872485","Some endangered citizens may not survive the next night...","Some endangered citizens may not survive the next night..."
"[02D625AE4F4305F72827FF93B57F18A6]::24ED0E5045AC705EC8850C9C691A3A37","Yes","Так"
"[036AF45B4D34AC67648CADB5C4B784AD]::9E3E623E4227A655642400AD1E257F3F","BLOOD","КРОВ"
"[036AF45B4D34AC67648CADB5C4B784AD]::4EB4F1404FD377F6E39E499AD96280EA","LIFE","ЗДОРОВ'Я"
"[036AF45B4D34AC67648CADB5C4B784AD]::F647BD30414E061284C675B3F4DE07D6","STAMINA","ВИТРИВАЛІСТЬ"
"[0969669343CF7A4915590097C6F26D18]::9CB3A87A4E22A8E8215A9E83BE5B0828","Autophagy","Самопоїдання"
"[0969669343CF7A4915590097C6F26D18]::099B07134AE43085A79957A4C6AAE99B","Level","Рівень"
"[0969669343CF7A4915590097C6F26D18]::22549140400C8890718F01B54443A27C","PASSIVE","ПАСИВКА"
