"Key","Source","Translation"
"C2B596B4414BCD7A2997FFA955DECF5E","«Take, eat; this is my body», so sayeth the Lord.","«Візьміть, їжте, то є тіло моє», - так сказав Господь."
"E154A721463DB507D5218D9ADA84917C","The more we explore its boundaries, the less we are able to trace a clear line between life and death.","The more we explore its boundaries, the less we are able to trace a clear line between life and death."
"48337D29434AAA7255B1959D127A5D72","29 Pretty Orchard Street. This is it. What's in there for me?","29 Pretty Orchard Street. This is it. What's in there for me?"
"413719744C3480EC679B71B92EE0CBE7","29 Pretty Orchard Street? That's near Poplar’s District. Why would this man carry off my mother's brooch? I must go there.","29 Pretty Orchard Street? That's near Poplar’s District. Why would this man carry off my mother's brooch? I must go there."
"A04FFD824DA8DAA8DB5DF0886890FA88","A Disaster is pure anger born through blood. Its name means bad star, for they only appear when our Queen unleashes her unquenchable wrath upon the world.","A Disaster is pure anger born through blood. Its name means bad star, for they only appear when our Queen unleashes her unquenchable wrath upon the world."
"1D5E2C10498A7D13BB815AABB58AEA45","A Disaster is the pure will of our Queen. Whenever she dreams of walking this Earth, she awakes in this putrid vessel.","A Disaster is the pure will of our Queen. Whenever she dreams of walking this Earth, she awakes in this putrid vessel."
"A876D9A04C7040BA470D998B2933D45F","A Lady has to have some secrets.","A Lady has to have some secrets."
"0066CC0540B00301F14A8EAB76F396DD","A Skal is easier to eliminate, Jonathan, even if they remain formidable foes for the unprepared. Vampires, now vampires exist beyond the mortal realm.","A Skal is easier to eliminate, Jonathan, even if they remain formidable foes for the unprepared. Vampires, now vampires exist beyond the mortal realm."
"7300A7C54BDAA7353543C997F3BB1C3B","A close friend then?","Отже, близький друг?"
"7FEFF6FB489C2B28D6054893FB6A745D","A more cynical analysis would be that this is an acceptable catastrophe.","A more cynical analysis would be that this is an acceptable catastrophe."
"D09DCFB747670BDE4DAF699A3264CE25","A convenient, but expensive way to have a fresh supply of blood on hand day and night, don't you think?","A convenient, but expensive way to have a fresh supply of blood on hand day and night, don't you think?"
