"Key","Source","Translation"
"43343F924610B8469100478D97CAC651","A leech! A leech!","Ліч! Ліч!"
"74BE17BD49A263CDA4D4F99A17992208","A leech! A leech!","Ліч! Ліч!"
"84D707D94B41C45E734DB7B23D9BA8DD","Abomination!","Мерзота!"
"5EBF962648F8006C19367C93B000BED1","Ain't safe here for a gentleman!","Тут небезпечно для джентльмена!"
"60F0BCD249C960B26359B786F94AEA8E","Ain't safe here for a gentleman!","Тут небезпечно для джентльмена!"
"E1EA1E994D4737368A774EB999C53230","Ain't safe here for a gentleman!","Тут небезпечно для джентльмена!"
"CC1E831B44E5482D8AE07E83DA5FC9F7","All of you bloody leaches need killing!","Усіх вас, кривавих лічів, слід убити!"
"41368C9140DF1DA29E6229BD80B3B988","All these fucking patrols exhaust me, mate!","Усі ці блядські дозори виснажують мене, друже!"
"497C197E417642A9C81FC78E30659735","All these fucking patrols exhaust me, mate!","Усі ці блядські дозори виснажують мене, друже!"
"E0049799497913CE344AF29D72B7A12C","All these fucking patrols exhaust me, mate!","Усі ці блядські дозори виснажують мене, друже!"
"FDD7AC0B44A869A756D0A69451978F49","All this fighting! All these dead! For nothing! Nothing!","Усі ці бійки! Усі ці мерці! Усе даремно! Даремно!"
"FC51F7A74428D8680F9B60938BC28AA3","And thine shall be a fair skull to adorn my mantle!","And thine shall be a fair skull to adorn my mantle!"
"75BE0AC64E5C4327B5758592FC63FD89","Angry, she will be! Merciless, she will be!","Angry, she will be! Merciless, she will be!"
"38C2573649664AC4E45EC5B033C26E95","Are you bloody stupid?","Ти кровавий бовдур?"
"0714530C42DC9CCBF99A4A83D0401418","Are you deaf?","Ти глухий?"
"5879CC3447F6C0CAC95A23B45050459E","Are you deaf?","Ти глухий?"
"7EB18B1C4CD7613635C37AB24EECE252","Are you deaf?","Ти глухий?"
"8234FC2440D2ECDC827ED09A06FE64A4","Are you deaf?","Ти глухий?"
"9D97462643C3AE5BBBD98C9301317ACA","Are you deaf?","Ти глухий?"
"90CB743E414F5ECE49D5C5AB3EB0D548","Are you from Ascalon? I don't care!","Are you from Ascalon? I don't care!"
"F7073CB54EA46553949FABA2E60FD24E","Are you stupid?","Ти дурний?"
"7CA0ED4E4F66190FAA298BAB3B58EFE0","Arise and save your queen, my slaves!","Arise and save your queen, my slaves!"
"0326074343713C817121928349C75A4B","Ascalon shall prevail!","Ascalon shall prevail!"
"67F210CF4C7E4BDC3A9FE6B13A2B4165","Assassin!","Убивця!"
"2818666C44C0D48791BAB8B892CF67CD","Away with you!","Away with you!"
"E2939F0049012622D935C7BC7CB6D53B","Away with you!","Away with you!"
