"Key","Source","Translation"
"6DE217BF444C7D1DDE1A3AA6E4FEC332","«From Seymour to my beloved mother Stella». Fishburn, that sneaky bastard!","«From Seymour to my beloved mother Stella». Fishburn, that sneaky bastard!"
"7A273DAC44F467D58C8401BBD745763F","«From Seymour to my beloved mother Stella». What is this doing here? Who are these people?","«From Seymour to my beloved mother Stella». What is this doing here? Who are these people?"
"9D48B3B44F9292AF2882708BF1E062B9","A flock's flight makes for an omen. The falling of a star a dire presage. Turning to priests for interpretation when there was no reason to be found.","A flock's flight makes for an omen. The falling of a star a dire presage. Turning to priests for interpretation when there was no reason to be found."
"DB5482B74227A0B7F60F6DB615B294E6","A love letter from Joe Peterson's wife addressed to Barret Lewis? Who should I give it to I wonder?","A love letter from Joe Peterson's wife addressed to Barret Lewis? Who should I give it to I wonder?"
"A4774CC8413214743A5994837A7A3A74","A puncture over the left lung, possibly a chest tube insertion. Not the cleanest work but I think it was successful.","A puncture over the left lung, possibly a chest tube insertion. Not the cleanest work but I think it was successful."
"FBDB438F46AE5D1F6CE33DABBE4FC2E6","A restaurant where the guests are blindfolded before being seated? Intriguing…","A restaurant where the guests are blindfolded before being seated? Intriguing…"
"8A74F9634DFFAE8F920FC981B1341316","Ammunition crate. Good, I may need a lot of bullets. I feel like I'm back on the front line again.","Ammunition crate. Good, I may need a lot of bullets. I feel like I'm back on the front line again."
"99D43D7B463D0C74398B288FE282B192","As I feared, Samuel no longer preaches the good word.","As I feared, Samuel no longer preaches the good word."
"D5BFF3DB43189B2F66368DA775BDCD5F","At the least I know Strickland cannot kill anyone with this formula.","At the least I know Strickland cannot kill anyone with this formula."
"7F2B38C1424468480F4FDE8E604DA4AA","Blood of a pure heart. Garlic. Blood of a king. I don't understand. Perhaps this is what McCullum drank. I had better keep that in mind.","Blood of a pure heart. Garlic. Blood of a king. I don't understand. Perhaps this is what McCullum drank. I had better keep that in mind."
"148603E34238B26BE300D49D397F4863","Blood. As I shed one last red tear for my fallen sister, I realize the entire world now revolves around this singular word.","Blood. As I shed one last red tear for my fallen sister, I realize the entire world now revolves around this singular word."
"E2BA051940FEF72F351A96A4CDA09096","Blood… I should follow the trail.","Кров… Треба йти по сліду."
"A9EDFDF04F2EEFB88D1446A110F73FF8","Carnage! Is Father Whitaker's disciple among the bodies, I wonder?","Carnage! Is Father Whitaker's disciple among the bodies, I wonder?"
"139D93574E9E5C11E3F8A9B7800782E8","Confronted by the eerie and unknown, mortals became desperate for answers.","Confronted by the eerie and unknown, mortals became desperate for answers."
"393694F041AD05F5A3F2E8B6B86B0180","Darius is a bit less of a mystery now. It should not be that difficult to incite him to let me in.","Darius is a bit less of a mystery now. It should not be that difficult to incite him to let me in."
"6996C3124EC91E65B9F675A6203ADB63","Dawson' mansion… Here I am at last, but the question remains: am I ready to make a dying man my Progeny?","Dawson' mansion… Here I am at last, but the question remains: am I ready to make a dying man my Progeny?"
"A75A56514F4194FAEC125AB5543FC5D9","Do you know where you are standing right now?","Ти знаєш, де ти зараз стоїш?"
"6E5E410F4F0F1BB84EDF678DD438C09B","Doctor Jonathan Reid! It is a shame you were not here when Priwen attacked to show us all what you are made of.","Doctor Jonathan Reid! It is a shame you were not here when Priwen attacked to show us all what you are made of."
"30C34427403316910DFDDCBE30FD061E","Doctor Swansea is right; this place seems perfect to conduct my research.","Доктор Свонсі має рацію: це місце здається чудовим для проведення моїх досліджень."
"9758E8F64DABEF8A9F738BAA2289BE31","Done!","Готово!"
"1B6A6EB34C28C73B8A66918F227942FD","Doris Fletcher was about to become a Disaster? I'm getting close to having all the evidence.","Doris Fletcher was about to become a Disaster? I'm getting close to having all the evidence."
"59FB2E934C8C56606948CEBE252C1CE4","Eight voracious beasts born from eight restless nights.","Eight voracious beasts born from eight restless nights."
"E1264BAE48F951989A65EBA9CEB4C79D","Emily wanted to become a vampire? Something must have gone wrong. Someone is responsible for this mess, but who?","Emily wanted to become a vampire? Something must have gone wrong. Someone is responsible for this mess, but who?"
"D4A74CE347BE7E31164E47ADF28D0D5C","England is safe, for you have prevailed. I bid you farewell, my champion bittersweet.","England is safe, for you have prevailed. I bid you farewell, my champion bittersweet."
"36F239254F729675D64DA2B16E66C43F","England is safe. The price paid most dear. But what do you care? You are one who keeps killing.","England is safe. The price paid most dear. But what do you care? You are one who keeps killing."
"CF64C775445A9BD3D03887AE6DF8F20E","Four nails piercing the flesh of the sinner.","Чотири цвяхи, що пронизують плоть грішника."
"7431A2BF40E15369E80812A91B149A78","Fresh blood. The smell is so strong!","Свіжа кров. Запах такий насичений!"
"6CB5C1634900CF7AB0A75F9F37C98AC4","Fresh water. As long as it is not holy water I may find some use for it.","Fresh water. As long as it is not holy water I may find some use for it."
"6B0B401E4FEB436DD11BF38EBB4B5824","Giselle's stolen money. Priwen has some unethical way of financing their war.","Giselle's stolen money. Priwen has some unethical way of financing their war."
"618B7F8043E011E12BFCD9AE73A1E08C","Good evening Doctor Reid. Have a drink and enjoy this night, for it could be our last!","Good evening Doctor Reid. Have a drink and enjoy this night, for it could be our last!"
"45EC43914EB61FE8CF0E709CA6A89B0D","Here is what's left of him. Not a lot to check, but I should anyway.","Here is what's left of him. Not a lot to check, but I should anyway."
"917B86594333038EF46497BEFBEB6283","Human blood. Whoever left these marks did so deliberately.","Людська кров. Хто б не залишив ці мітки, зробили це навмисно."
"D353618241C7FA43B70697B99210F08D","I am Doctor Jonathan Reid. I am a vampire… Born anew into an age of death and pestilence.","Мене звуть доктор Джонатан Рід. І я вампір… Народився заново в епоху смерті та епідемій."
